what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1522987409876
java.vm.info,sysinfo,,,"mixed mode",1522987409876
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1522987409876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1522987409876
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1522987409876
java.vm.specification.version,sysinfo,,,"1.0",1522987409876
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1522987409876
java.vm.version,sysinfo,,,"19.0-b09",1522987409876
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1522987409923
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1522987409986
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1522987410064
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1522987410126
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1522987412408
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522987518236
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522987520173
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522987523080
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1522987523720
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1522987523830
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522987526361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987526923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987559953
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1522987569031
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1522987569110
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1522987569110
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1522987569125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987569219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987583125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987642469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987735891
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1522987736782
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522987752657
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522987752844
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1522987753266
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522987758672
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522987758813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522987763876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522987772063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522987813610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522987827501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522987830969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522987835938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987838344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987869766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522987872485
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1522987874235
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1522987874251
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1522987875657
error,log,,,"Unable to validate connection settings.",1522987904110
error,log,,,"Unable to validate connection settings.",1522987904157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987904188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987930110
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1522987946985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987947407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987955173
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522987977532
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1522987977954
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1522987977985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522988050084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522988053037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522988055380
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1522988064552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522988067834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522988079427
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522988132756
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522988133912
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522988135349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1522988136271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522988146959
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522988149084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988151818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988152709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522988152740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988154224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988157021
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1522988157943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988160099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988176896
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522988393662
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522988394053
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522988404632
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522988631289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522988658320
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522988664148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988666086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522988690054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522989284118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522993358106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522993361216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522993366059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522993366263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522994321128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522994322190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522994323518
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1522994323909
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522994324112
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1522994326112
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1522994326112
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1522994326112
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1522994326831
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1522994326831
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1522994326831
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1522994326831
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1522994326831
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1522994326831
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1522994326862
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1522994326862
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1522994326862
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1522994326893
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1522994326893
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1522994326909
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1523017369195
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1523017369195
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1523017369195
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1523017369211
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1523017369211
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1523017369211
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1523017369211
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1523017369211
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1523017369211
